SERIAL NO,COMMUNITY,SUB-CASTE
345,BC,"Urali Gounder ( except Tiruchirapalli, Karur, Perambalur and Pudukottai District) and Orudaya Gounder or Oorudaya Gounder ( in Madurai ,Theni, Dindigul, Coimbatore, Erode, Tiruchirapalli, Karur , Perambalur, Pudukottai, Salem and Namakkal Districts )"
346,BC,Urikkara Nayakkar
347,BC,Virakodi Vellala
348,BC,Vallambar
349,BC,Vallanattu Chettiar
350,BC,Valmiki
351,BC,"Vaniyar, Vania Chettiar ( including Gandla, Ganika, Telikula and Chekkalar)"
352,BC,Veduvar and Vedar ( except in Kanniyakumari District and Shencottah Taluk of Tirunelveli District where the community is a Scheduled Castes)
353,BC,Veerasaiva ( in Kanniyakumari District and Shencottah Taluk of Tirunelveli District )
354,BC,Velar
355,BC,Vellan Chettiar
356,BC,Veluthodathu Nair ( in Kanniyakumari District and Shencottah Taluk of Tirunelveli District )
357,BC,"Vokkaligar ( including Vakkaligar, Okkaligar, Kappiliyar, Kappiliya, Okkaliga Gowda, Okkaliya- Gowda, Okkaliya- Gowder, Okkaliya Gowda )"
358,BC,Wynad Chetty ( The Nilgiris District )
359,BC,"Yadhava ( including Idaiyar, Telugu Speaking Idaiyar known as Vaduga Ayar or Vaduga Idaiyar or Golla and Asthanthra Golla)"
360,BC,Yavana
361,BC,Yerukula
362,BC,Orphans and destitute children who have lost their parents before reaching the age of ten and are destitutes; and who have nobody else to take care of them either by law or custom; and also who are admitted into any of the schools or orphanages run by the Government or recognized by the Government
363,BC,Thiyya
364,BC,"Converts to Christianity from any Hindu Backward Classes Community or Most Backward Classes Community or Denotified Communities (except the Converts to Christianity from Meenavar, Parvatharajakulam, Pattanavar, Sembadavar, Mukkuvar or Mukayar and Paravar)"
365,BC(Muslim),Ansar
366,BC(Muslim),Dekkani Muslims
367,BC(Muslim),Dudekula
368,BC(Muslim),Labbais including Rowthar and Marakayar (whether their spoken language is Tamil or Urdu)
369,BC(Muslim),Mapilla
370,BC(Muslim),Sheik
371,BC(Muslim),Syed
372,Others,Others
373,ST,Not Applicable
374,SC,Madiga
375,BC,pattapu 
